DataEscrituração;Código;Nome Produto;Número;CFOP;Unid.;Qtd.;Descontos;Valor Total Item;Valor Frete;Mod.;Cód. Forn/Cliente;Nome Forn/Cliente;Valor Unitário;Item Cancelado;Nota Cancelada;Cidade Forn/Cliente;UF Forn/Cliente;Quantidade Base;Total COFINS;Total PIS
11/01/2022;407;CREME FACIAL 100 ML;000005310;5151;UN;294,0;0,00;2234,4;0,00;55;0001;Cliente : 0001;7,6;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;408;CREME ESFOLIANTE 200G;000005310;5151;UN;490,0;0,00;3724,0;0,00;55;0001;Cliente : 0001;7,6;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;410;LOÇÃO CORPORAL 50G;000005310;5151;UN;378,0;0,00;2835,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;404;BATOM ROSA CLARO 7G;000005310;5151;UN;1120,0;0,00;8400,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;405;BATOM ROSA ESCURO 7G;000005310;5151;UN;1960,0;0,00;14700,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;402;BATOM VERMELHO CLARO 7G;000005310;5151;UN;1960,0;0,00;14700,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;406;BATOM VERMELHO ESCURO 7G;000005310;5151;UN;556,0;0,00;4170,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;403;BATOM MATE 7G;000005310;5151;UN;840,0;0,00;6300,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;403;BATOM MATE 7G;000005310;5151;UN;840,0;0,00;6300,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;413;PORTA BATOM 1UND;000005310;5151;UN;50,0;0,00;495,0;0,00;55;0001;Cliente : 0001;9,9;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;409;SABONETE FACIAL 200ML;000005310;5151;UN;490,0;0,00;3430,0;0,00;55;0001;Cliente : 0001;7,0;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;418;SABONETE ESFOLIANTE 200ML;000005310;5151;UN;840,0;0,00;5880,0;0,00;55;0001;Cliente : 0001;7,0;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;407;CREME FACIAL 100 ML;000005311;5151;UN;23,0;0,00;174,8;0,00;55;0001;Cliente : 0001;7,6;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;408;CREME ESFOLIANTE 200G;000005311;5151;UN;50,0;0,00;380,0;0,00;55;0001;Cliente : 0001;7,6;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;410;LOÇÃO CORPORAL 50G;000005311;5151;UN;6,0;0,00;45,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;417;CREME FIXADOR 30 ML;000005311;5151;UN;61,0;0,00;427,0;0,00;55;0001;Cliente : 0001;7,0;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;404;BATOM ROSA CLARO 7G;000005311;5151;UN;23,0;0,00;172,5;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;404;BATOM ROSA CLARO 7G;000005311;5151;UN;82,0;0,00;615,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;405;BATOM ROSA ESCURO 7G;000005311;5151;UN;327,0;0,00;2452,5;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;402;BATOM VERMELHO CLARO 7G;000005311;5151;UN;298,0;0,00;2235,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;406;BATOM VERMELHO ESCURO 7G;000005311;5151;UN;48,0;0,00;360,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;406;BATOM VERMELHO ESCURO 7G;000005311;5151;UN;12,0;0,00;90,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;403;BATOM MATE 7G;000005311;5151;UN;39,0;0,00;292,5;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
11/01/2022;403;BATOM MATE 7G;000005311;5151;UN;180,0;0,00;1350,0;0,00;55;0001;Cliente : 0001;7,5;Não;Não;Belo Horizonte;MG;0;0,00;0,00
